review_status	case_id	case_path	pr_number	pr_title	test_type	test_path	test_name	failure_signature	patch_url	source_smell	final_disposition	subpattern	mechanism_one_liner	migrate_to	notes
reviewed	pr-14826	cases/2020/02/pr-14826.json	14826	*: fix unit tests on the windows platform	unit	config/config_test.go	config_test	PR body lists Windows-specific nondeterminism/behavior differences (imprecise time.Now(), os.Remove() fails if file still open, unix socket addr issues).	https://github.com/pingcap/tidb/pull/14826.patch	hardcoded_port_or_resource	watchlist	watchlist: Windows 平台行为差异（句柄/删除语义/socket）	Windows 上文件未 close 不能 remove / unix socket 地址 host:port 不可用；补 Close/skip + 清理固定日志文件名		
reviewed	pr-14988	cases/2020/03/pr-14988.json	14988	store/helper: use random server port in test	unit	store/helper/helper_test.go	helper_test	PR body: use random server port for the test instead of fixed 127.0.0.1:10100.	https://github.com/pingcap/tidb/pull/14988.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	PD mock HTTP server 用固定 127.0.0.1:10100；改用 httptest.NewServer 随机端口		
reviewed	pr-18414	cases/2020/07/pr-18414.json	18414	test: make TestDispatchClientProtocol41 stable	unit	server/conn_test.go	TestDispatchClientProtocol41	PR title: make TestDispatchClientProtocol41 stable.	https://github.com/pingcap/tidb/pull/18414.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	测试启动 TiDB server 用固定 port 4005；改用 genPort() 获取可用端口并 defer Close		
reviewed	pr-19434	cases/2020/08/pr-19434.json	19434	tikv: stable TestPanicInRecvLoop test	unit	store/tikv/client_fail_test.go	TestPanicInRecvLoop	Load-dependent failures in `TestPanicInRecvLoop` (connection establishment/port issues or request timeouts after recvLoop panic)	https://github.com/pingcap/tidb/pull/19434.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	mock TiKV gRPC server 扫描端口区间 40000-50000；改为 net.Listen :0 获取实际端口并 Stop 清理		
reviewed	pr-19717	cases/2020/09/pr-19717.json	19717	executor: fix file exists errors in tests for `select into outfile`	unit	executor/select_into_test.go	select_into_test	`select into outfile` tests fail with "file exists" when multiple runs share the same temp outfile name/path	https://github.com/pingcap/tidb/pull/19717.patch	hardcoded_port_or_resource	retain	临时文件/目录要用 t.TempDir/os.CreateTemp 隔离，避免写死 /tmp 或共享全局 TempDir	select into outfile 测试写死 temp 文件名；改为每个测试生成唯一临时文件路径		
reviewed	pr-29767	cases/2021/11/pr-29767.json	29767	*: fix unstable test testChecksumSuite.TestChecksum	unit	br/pkg/mock/mock_cluster.go	TestChecksum	*: fix unstable test testChecksumSuite.TestChecksum	https://github.com/pingcap/tidb/pull/29767.patch	hardcoded_port_or_resource	retain	TiDB mock/server 的 unix socket 路径需唯一（或禁用），避免 /tmp 下冲突	mock cluster 使用默认 unix socket 路径导致并发冲突；为 cfg.Socket 设置唯一 /tmp/tidb-mock-<ts>.sock		
reviewed	pr-29835	cases/2021/11/pr-29835.json	29835	server: fix unstable test TestDumpStatsAPI	unit	server/statistics_handler_serial_test.go	TestDumpStatsAPI	server: fix unstable test TestDumpStatsAPI	https://github.com/pingcap/tidb/pull/29835.patch	hardcoded_port_or_resource	retain	TiDB mock/server 的 unix socket 路径需唯一（或禁用），避免 /tmp 下冲突	统计 handler 测试启动 server 时 unix socket 路径冲突；为 cfg.Socket 设置唯一 /tmp/tidb-mock-<ts>.sock		
reviewed	pr-30716	cases/2021/12/pr-30716.json	30716	br: fix some unstable unit test cases.	unit	br/pkg/trace/tracing_serial_test.go	tracing_serial_test	Port allocation conflict for mock cluster start, and timing-sensitive trace assertions due to too-short sleeps.	https://github.com/pingcap/tidb/pull/30716.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	tempurl.Alloc 取到的端口未被保留导致偶发被占用；增加 listen 校验并重试		
reviewed	pr-31167	cases/2021/12/pr-31167.json	31167	br: use random port to start mock cluster.	unit	br/pkg/restore/client_test.go	client_test	Mock cluster start flaked due to port conflicts / repeated start-stop lifecycle issues in tests.	https://github.com/pingcap/tidb/pull/31167.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	mock cluster 端口分配不可靠；用 net.Listen 选随机端口并在 NewServer 前释放		
reviewed	pr-31876	cases/2022/01/pr-31876.json	31876	server: fix several unstable test cases when using 'make ut'	unit	server/server_test.go	server_test	server: fix several unstable test cases when using 'make ut'	https://github.com/pingcap/tidb/pull/31876.patch	hardcoded_port_or_resource	retain	临时文件/目录要用 t.TempDir/os.CreateTemp 隔离，避免写死 /tmp 或共享全局 TempDir	大量测试写死 /tmp/*.csv 与 /tmp/*cert.pem；改用 os.CreateTemp/t.TempDir 隔离临时文件		
reviewed	pr-32225	cases/2022/02/pr-32225.json	32225	executor: fix unstable unit test TestIssue16696	unit	executor/main_test.go	TestIssue16696	executor: fix unstable unit test TestIssue16696	https://github.com/pingcap/tidb/pull/32225.patch	hardcoded_port_or_resource	retain	临时文件/目录要用 t.TempDir/os.CreateTemp 隔离，避免写死 /tmp 或共享全局 TempDir	executor 测试共享 TempStoragePath 并在 TestMain 清理；改为每个测试 t.TempDir 设置 TempStoragePath		
reviewed	pr-33246	cases/2022/03/pr-33246.json	33246	privilege/privileges, server: stabalize tests	unit	privilege/privileges/main_test.go	main_test	The privileges test has leaks. It might be related to the go 1.18 upgrade since nothing has changed.. but it could also be a race that is now common since I had previously seen these errors but they went away.	https://github.com/pingcap/tidb/pull/33246.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	server 测试显式设置 cfg.Port=0 / cfg.Status.StatusPort=0 让系统分配端口		
reviewed	pr-33295	cases/2022/03/pr-33295.json	33295	infoschema: stabalize TestSelectClusterTable test	unit	infoschema/cluster_tables_test.go	TestSelectClusterTable	The infoschema tests are unstable. This is caused by the HOST portion of the processlist now including the peer port (from https://github.com/pingcap/tidb/pull/30183 ). The solution is just to not include this in the results.	https://github.com/pingcap/tidb/pull/33295.patch	hardcoded_port_or_resource	watchlist	watchlist: 避免断言动态网络细节（instance/host/port/socket）	测试断言 CLUSTER_PROCESSLIST 的 instance/host 含固定 :10080；改只查稳定列避免端口/socket 细节波动		
reviewed	pr-36154	cases/2022/07/pr-36154.json	36154	domain: fix unstable test TestAbnormalSessionPool	unit	domain/db_test.go	TestAbnormalSessionPool	domain: fix unstable test TestAbnormalSessionPool	https://github.com/pingcap/tidb/pull/36154.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	domain 测试启动 server 时端口/Socket 冲突；启用 server.RunInGoTest 并清理 Socket 等配置		
reviewed	pr-36308	cases/2022/07/pr-36308.json	36308	domain: fix unstable test	unit	domain/db_test.go	db_test	domain: fix unstable test	https://github.com/pingcap/tidb/pull/36308.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	domain 测试显式设置 Port=0 并禁用 status 报告，避免端口占用/冲突		
reviewed	pr-43023	cases/2023/04/pr-43023.json	43023	*: reset jobs number	unit	Makefile	*: reset jobs number	EE team set too many concurrencies for tidb UT. so that many UT are very easy to become the unstable test for high CPU usage.	https://github.com/pingcap/tidb/pull/43023.patch	hardcoded_port_or_resource	exclude	N/A（exclude：CI 资源/并行度治理）	通过 Makefile 限制 bazel --jobs 降低 CPU 争用导致的 flaky；与端口/路径隔离无关		
reviewed	pr-51284	cases/2024/02/pr-51284.json	51284	executor: avoid prealloc too big slice for indexMerge	integration	tests/integrationtest/r/executor/index_merge_reader.result	index_merge_reader	select * from t use index(b, c) where b=2 or c=3 order by a limit 10000000000000000; (tests/integrationtest/r/executor/index_merge_reader.result)	https://github.com/pingcap/tidb/pull/51284.patch	hardcoded_port_or_resource	exclude	N/A（exclude：OOM/资源上限波动）	IndexMerge 按巨大 LIMIT/OFFSET 预分配过大 slice 导致 OOM；通过 cap(1024) 降低资源波动		
reviewed	pr-56310	cases/2024/09/pr-56310.json	56310	*: fix flaky test TestConnectThrough636	unit	pkg/privilege/privileges/ldap/ldap_common_test.go	TestConnectThrough636	*: fix flaky test TestConnectThrough636	https://github.com/pingcap/tidb/pull/56310.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	LDAP TLS 测试用非保留的随机端口；改为 tls.Listen :0 并从 ln.Addr 解析实际端口		
reviewed	pr-58006	cases/2024/12/pr-58006.json	58006	executor, planner: send traffic requests to tiproxy	unit	pkg/executor/traffic_test.go	TestTrafficError	fix unstable TestTrafficError	https://github.com/pingcap/tidb/pull/58006.patch	hardcoded_port_or_resource	watchlist	watchlist: 避免断言 OS-specific network error string	网络错误文案因 OS/network stack 不一致导致断言不稳；从精确错误文案改匹配稳定子串 dial tcp		
reviewed	pr-61362	cases/2025/05/pr-61362.json	61362	executor: random port to fix flaky test TestLoadRemote	unit	pkg/executor/test/loadremotetest/error_test.go	TestLoadRemote	executor: random port to fix flaky test TestLoadRemote	https://github.com/pingcap/tidb/pull/61362.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	fake-gcs-server endpoint 写死 127.0.0.1:4443；改从 server.URL() 获取随机端口并传入 endpoint		
reviewed	pr-64457	cases/2025/11/pr-64457.json	64457	server: use TempDir for plan replayer's UT	unit	pkg/server/handler/optimizor/plan_replayer_test.go	plan_replayer_test	Because the paths of the plan replayer are all fixed, different tests will clean up the corresponding directories after completion, causing files generated by tests that are still running to be deleted, leading to flaky tests.	https://github.com/pingcap/tidb/pull/64457.patch	hardcoded_port_or_resource	retain	临时文件/目录要用 t.TempDir/os.CreateTemp 隔离，避免写死 /tmp 或共享全局 TempDir	Plan replayer UT 共享全局 TempDir；测试内临时设置 config.TempDir=t.TempDir 并恢复		
reviewed	pr-65122	cases/2025/12/pr-65122.json	65122	planner: use TempDir to fix the flaky test	unit	pkg/server/handler/optimizor/statistics_handler_test.go	statistics_handler_test	stats handler tests: intermittent failures due to shared `/tmp` socket/file path collisions (stale files or concurrent tests)	https://github.com/pingcap/tidb/pull/65122.patch	hardcoded_port_or_resource	retain	TiDB mock/server 的 unix socket 路径需唯一（或禁用），避免 /tmp 下冲突	stats handler UT 的 server unix socket 写死 /tmp；改为每个测试 t.TempDir 下唯一 sock + 临时 stats.json		
reviewed	pr-65186	cases/2025/12/pr-65186.json	65186	br: use random port to avoid flaky test	unit	br/pkg/restore/import_mode_switcher_test.go	import_mode_switcher_test	br tests: intermittent `listen tcp :51111+...: bind: address already in use` / port allocation failure	https://github.com/pingcap/tidb/pull/65186.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	BR import gRPC tests 扫描固定端口 51111+N；改 net.Listen :0 获取可用地址		
reviewed	pr-65549	cases/2026/01/pr-65549.json	65549	test: refine network port assignment in test	unit	pkg/server/tests/commontest/tidb_test.go	TestCheckRequirements	tests: intermittent failures/hangs due to port collisions (EADDRINUSE) and missing network timeouts (PingContext without deadline)	https://github.com/pingcap/tidb/pull/65549.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	embed etcd 测试用 randPort+1 假定可用；改 net.Listen 取 free port 并在 EADDRINUSE 时重试		
reviewed	pr-65773	cases/2026/01/pr-65773.json	65773	pkg/privilege: fix flaky ldap TLS tests	unit	pkg/privilege/privileges/ldap/ldap_common_test.go	TestConnectThrough636	LDAP TLS tests: intermittent listen/connect failures due to random/manual port selection (port collision/listen race)	https://github.com/pingcap/tidb/pull/65773.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	LDAP TLS 测试改为 localhost:0，并从 listener 地址解析实际端口		
reviewed	pr-66552	cases/2026/02/pr-66552.json	66552	test: fix flaky test TestAcquireDistributedLock	unit	pkg/owner/manager_test.go	TestAcquireDistributedLock	listen tcp 127.0.0.1:<port>: bind: address already in use (embedded etcd cannot start)	https://github.com/pingcap/tidb/pull/66552.patch	hardcoded_port_or_resource	retain	本地服务端口必须由 listener/httptest 分配（:0），避免硬编码/伪随机/扫描端口	embed etcd 测试 randPort+1 不稳；改 net.Listen 取 free client/peer port		
